Expt,Run,Speed
1,1,320
1,2,
1,3,
1,4,
1,5,-12
1,6,537
1,7,17
1,8,99
1,9,104
1,10,
1,11,179.974
1,12,
2,13,1388
2,14,
2,15,38
2,16,924
2,17,65
2,18,1327
2,19,79
2,20,780
2,21,
3,22,
3,23,710
3,24,1390
3,25,103
3,26,337
3,27,83
3,28,122
3,29,19
3,30,-78
3,31,101
3,32,118
3,33,182
3,34,175
3,35,210
3,36,155
4,37,300
4,38,158
4,39,122
4,40,1413
4,41,520
4,42,1420
4,43,1600
4,44,1380
4,45,-24
4,46,12.3
4,47,1550
5,48,
5,49,179
5,50,220
5,51,1689
5,52,1429
5,53,1193
5,54,1377
5,55,
6,56,188
6,57,1085
6,58,
6,59,380
6,60,400
6,61,600
6,62,132
6,63,65
7,64,135
7,65,339
7,66,444
7,67,1390
7,68,851
7,69,90
7,70,891
7,71,120
7,72,899
7,73,
8,74,90
8,75,
8,76,1310
8,77,
8,78,126
8,79,
8,80,
8,81,396
