Expt,Run,Speed
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,21
1,9,
1,10,
1,11,71.183
1,12,
2,13,
2,14,
2,15,
2,16,
2,17,11
2,18,
2,19,13
2,20,
2,21,
3,22,
3,23,
3,24,
3,25,
3,26,
3,27,
3,28,
3,29,
3,30,
3,31,69
3,32,40
3,33,79
3,34,100
3,35,210
3,36,166
4,37,
4,38,
4,39,
4,40,
4,41,
4,42,
4,43,
4,44,
4,45,-20
4,46,-50
4,47,
5,48,
5,49,73
5,50,
5,51,
5,52,
5,53,
5,54,
5,55,
6,56,83
6,57,
6,58,
6,59,
6,60,
6,61,
6,62,
6,63,
7,64,
7,65,
7,66,
7,67,
7,68,
7,69,16
7,70,
7,71,
7,72,825
7,73,
8,74,16
8,75,
8,76,
8,77,
8,78,41
8,79,
8,80,
8,81,193
