Expt,Run,Speed
1,1,271
1,2,561
1,3,170
1,4,222
1,5,-16
1,6,440
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
2,13,318
2,14,580
2,15,-58
2,16,462
2,17,-98
2,18,406
2,19,-114
2,20,78
2,21,1000
3,22,342
3,23,375
3,24,301
3,25,-18
3,26,10
3,27,-42
3,28,-11
3,29,-84
3,30,210
3,31,9
3,32,16
3,33,41
3,34,153
3,35,172
3,36,190
4,37,171
4,38,42
4,39,53
4,40,801
4,41,340
4,42,770
4,43,780
4,44,605
4,45,-97
4,46,-139
4,47,455
5,48,190
5,49,-43
5,50,73.4
5,51,1069
5,52,884
5,53,1450
5,54,859
5,55,770
6,56,-32
6,57,657
6,58,1124
6,59,308
6,60,334
6,61,260
6,62,42.7
6,63,-108
7,64,72.8
7,65,89
7,66,212
7,67,755
7,68,50
7,69,4
7,70,891
7,71,120
7,72,800
7,73,540
8,74,4
8,75,218
8,76,723
8,77,500
8,78,
8,79,600
8,80,65
8,81,
,,
