Expt,Run,Speed
1,1,848
1,2,1212
1,3,900
1,4,0
1,5,0
1,6,2810
1,7,0
1,8,312
1,9,312
1,10,0
1,11,312
1,12,0
2,13,1110
2,14,1
2,15,
2,16,1279
2,17,
2,18,970
2,19,
2,20,40
2,21,0
3,22,3000
3,23,18
3,24,1000
3,25,
3,26,
3,27,
3,28,
3,29,
3,30,0
3,31,1220
3,32,1100
3,33,83
3,34,730
3,35,1330
3,36,143
4,37,252
4,38,5480
4,39,10
4,40,359
4,41,372
4,42,344
4,43,745
4,44,550
4,45,5.32
4,46,5.74
4,47,0.018
5,48,458
5,49,0.4
5,50,9100
5,51,120
5,52,447
5,53,2.4
5,54,349
5,55,364
6,56,28
6,57,3.1
6,58,255
6,59,912
6,60,383
6,61,900
6,62,1212
6,63,0
7,64,673
7,65,1250
7,66,2160
7,67,215
7,68,96
7,69,139
7,70,1120
7,71,337
7,72,0.013
7,73,0.1
8,74,139
8,75,0.0001
8,76,13.2
8,77,230
8,78,0
8,79,0.043
8,80,350
8,81,0
