Expt,Run,Speed
1,1,71
1,2,
1,3,45
1,4,
1,5,
1,6,
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
2,13,6600
2,14,7340
2,15,350
2,16,210
2,17,5628
2,18,273
2,19,5628
2,20,6000
2,21,1500
3,22,7340
3,23,1500
3,24,1800
3,25,900
3,26,2140
3,27,90
3,28,900
3,29,90
3,30,1900
3,31,1800
3,32,3310
3,33,820
3,34,11700
3,35,7500
3,36,600
4,37,2660
4,38,
4,39,700
4,40,3000
4,41,
4,42,
4,43,1000
4,44,526
4,45,1800
4,46,
4,47,
5,48,3450
5,49,
5,50,525
5,51,6600
5,52,5989
5,53,
5,54,
5,55,5000
6,56,205
6,57,
6,58,1200
6,59,1267
6,60,1901
6,61,
6,62,
6,63,344
7,64,
7,65,
7,66,
7,67,
7,68,4220
7,69,6000
7,70,1870
7,71,
7,72,6450
7,73,
8,74,6000
8,75,
8,76,525
8,77,820
8,78,
8,79,
8,80
8,81
